2016-04-27 13:48:25,750 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-27 13:48:25,755 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-27 13:48:25,755 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-27 13:48:25,759 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-27 13:48:25,762 | ERROR | Could not accept connection : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-27 13:48:25,765 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-27 13:48:25,782 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-27 13:48:25,790 | INFO  | PListStore:[C:\Users\Dell1\git\BTalk\jms-broker\apache-activemq-5.13.0\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-30
2016-04-27 13:48:25,792 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2016-04-27 13:48:25,794 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2016-04-27 13:48:25,796 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2016-04-27 13:48:26,179 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-56865-1461678696646-0:1) uptime 21 hours 56 minutes | org.apache.activemq.broker.BrokerService | Thread-30
2016-04-27 13:48:26,181 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-56865-1461678696646-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-30
2016-04-27 13:48:26,184 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5da58496: startup date [Tue Apr 26 15:51:34 CEST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-30
2016-04-27 13:48:26,199 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-30
2016-04-27 13:48:37,170 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5da58496: startup date [Wed Apr 27 13:48:37 CEST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2016-04-27 13:48:38,252 | INFO  | PListStore:[C:\Users\Dell1\git\BTalk\jms-broker\apache-activemq-5.13.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2016-04-27 13:48:38,279 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Dell1\git\BTalk\jms-broker\apache-activemq-5.13.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-27 13:48:38,709 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-04-27 13:48:38,733 | INFO  | Recovering from the journal @1:637273 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-04-27 13:48:38,974 | INFO  | Recovery replayed 9675 operations from the journal in 0.25 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-04-27 13:48:39,122 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-58963-1461757719001-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-27 13:48:39,210 | INFO  | Listening for connections at: tcp://Dell:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-27 13:48:39,213 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-27 13:48:39,223 | INFO  | Listening for connections at: amqp://Dell:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-27 13:48:39,227 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-27 13:48:39,236 | INFO  | Listening for connections at: stomp://Dell:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-27 13:48:39,239 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-27 13:48:39,246 | INFO  | Listening for connections at: mqtt://Dell:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-27 13:48:39,253 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-27 13:48:39,477 | INFO  | Listening for connections at ws://Dell:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2016-04-27 13:48:39,478 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-27 13:48:39,482 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-58963-1461757719001-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-27 13:48:39,483 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-27 13:48:40,273 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2016-04-27 13:48:40,470 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
